"","아파트명","도로명주소","geometry","near_station","nearest_station","nearest_distance"
"178","리치타운","서울특별시 강남구 개포로28길 28",c(127.0503329, 37.47730864),FALSE,"매봉",1131.43871544587
"179","우찬현대(1260-11)","서울특별시 강남구 개포로31길 3-12",c(127.0488913, 37.47936447),FALSE,"매봉",879.317712994697
"180","우찬현대(1260-4)","서울특별시 강남구 개포로31길 9-5",c(127.0491251, 37.47955427),FALSE,"매봉",863.088713596644
"181","우찬현대(1260-2)","서울특별시 강남구 개포로31길 9-9",c(127.0487779, 37.47951768),FALSE,"매봉",860.654128960129
"182","한솔마을","서울특별시 강남구 광평로10길 6",c(127.0778553, 37.48187341),FALSE,"학여울",1776.35229472531
"183","상록수","서울특별시 강남구 광평로10길 15",c(127.0820868, 37.48202474),FALSE,"학여울",1929.05738666032
"184","까치마을","서울특별시 강남구 광평로19길 10",c(127.0876696, 37.48488052),FALSE,"학여울",2006.93442828446
"185","목련타운","서울특별시 강남구 광평로19길 15",c(127.0856715, 37.48472052),FALSE,"학여울",1890.3317339218
"186","삼성","서울특별시 강남구 광평로31길 27",c(127.0908822, 37.48485589),FALSE,"학여울",2229.8092203843
"187","강남 더샵 포레스트","서울특별시 강남구 광평로34길 35",c(127.0948785, 37.48130347),FALSE,"학여울",2750.20605840348
"188","강남데시앙포레","서울특별시 강남구 광평로34길 55",c(127.0908928, 37.48101874),FALSE,"학여울",2507.36735211432
"189","동익","서울특별시 강남구 광평로39길 3",c(127.0969287, 37.48544103),FALSE,"학여울",2646.39725984938
"190","신동아","서울특별시 강남구 광평로47길 17",c(127.098699, 37.48707466),FALSE,"학여울",2707.5437439866
"191","수서한아름","서울특별시 강남구 광평로51길 22",c(127.1039681, 37.48955323),FALSE,"학여울",3055.95856924965
"192","삼익아파트401동~405동","서울특별시 강남구 광평로51길 27",c(127.1008421, 37.48919293),FALSE,"학여울",2802.51459349102
"193","수서1","서울특별시 강남구 광평로51길 49",c(127.0999033, 37.49110716),FALSE,"학여울",2665.55540685196
"194","수서6","서울특별시 강남구 광평로56길 11",c(127.1050327, 37.48750181),FALSE,"학여울",3212.38517935398
"195","하니움","서울특별시 강남구 광평로60길 32",c(127.1071281, 37.48663289),FALSE,"학여울",3418.63472590246
"196","도곡동 STAY77","서울특별시 강남구 남부순환로351길 4",c(127.0349476, 37.4851537),FALSE,"매봉",1077.49671298239
"197","원팰리스","서울특별시 강남구 남부순환로351길 23",c(127.0340044, 37.48624878),FALSE,"매봉",1142.48973880333
"198","도곡하이빌","서울특별시 강남구 남부순환로363길 9-6",c(127.0375718, 37.48595382),FALSE,"매봉",833.713377983431
"199","도곡쌍용예가","서울특별시 강남구 남부순환로363길 30",c(127.0382302, 37.48755803),FALSE,"매봉",767.16159383141
"200","역삼우성","서울특별시 강남구 남부순환로363길 49",c(127.0367491, 37.48847107),FALSE,"매봉",908.860579138937
"201","중명하니빌","서울특별시 강남구 남부순환로365길 5",c(127.0388015, 37.4859674),FALSE,"매봉",726.447529444283
"202","한라비발디","서울특별시 강남구 남부순환로365길 33",c(127.0392024, 37.48763617),FALSE,"매봉",682.266775710615
"203","도곡스타빌","서울특별시 강남구 남부순환로370길 20",c(127.0425584, 37.48412069),FALSE,"매봉",507.941685150009
"204","도곡지웰카운티 101동","서울특별시 강남구 남부순환로373길 3",c(127.043578, 37.48635841),FALSE,"매봉",305.506637247086
"205","리치아르떼빌","서울특별시 강남구 남부순환로373길 4",c(127.0440103, 37.4864086),FALSE,"매봉",267.348632128866
"206","도곡지웰카운티 102동","서울특별시 강남구 남부순환로373길 9",c(127.0435723, 37.48679306),FALSE,"매봉",296.384970005914
"207","월드메르디앙102동","서울특별시 강남구 남부순환로373길 14",c(127.0439226, 37.48692222),FALSE,"매봉",264.182685658226
"208","월드메르디앙101동","서울특별시 강남구 남부순환로373길 15",c(127.0435898, 37.48712093),FALSE,"매봉",292.684943196268
"209","이니그마빌-III","서울특별시 강남구 남부순환로373길 21",c(127.0433864, 37.48736803),FALSE,"매봉",311.911509974774
"210","상지리츠빌 카일룸","서울특별시 강남구 남부순환로373길 23",c(127.0438246, 37.48786564),FALSE,"매봉",284.518382634859
"211","PLUMHILLS","서울특별시 강남구 남부순환로373길 26",c(127.044122, 37.48758636),FALSE,"매봉",251.276814475789
"212","벨라빌","서울특별시 강남구 남부순환로375길 6",c(127.0446359, 37.48666829),TRUE,"매봉",206.422723998293
"213","도곡현대힐스테이트 102동","서울특별시 강남구 남부순환로377길 18",c(127.0456244, 37.4874855),TRUE,"매봉",120.470161103805
"214","도곡현대힐스테이트 105동","서울특별시 강남구 남부순환로377길 22",c(127.0453587, 37.48766679),TRUE,"매봉",149.801203648073
"215","현대파크빌라","서울특별시 강남구 남부순환로377길 25",c(127.0445786, 37.48764822),TRUE,"매봉",213.854932114966
"216","힐데스하임빌라","서울특별시 강남구 남부순환로377길 26",c(127.0449748, 37.48802154),TRUE,"매봉",198.109818582026
"217","로덴하우스 이스트빌리지","서울특별시 강남구 남부순환로378길 9",c(127.0468889, 37.4856712),TRUE,"매봉",160.440240520951
"218","로덴하우스 웨스트빌리지","서울특별시 강남구 남부순환로378길 11",c(127.0465455, 37.48553418),TRUE,"매봉",178.540486579472
"219","삼성","서울특별시 강남구 남부순환로379길 14",c(127.0464303, 37.48871261),TRUE,"매봉",182.665803560343
"220","도곡현대힐스테이트 101동","서울특별시 강남구 남부순환로379길 15",c(127.045984, 37.48771232),TRUE,"매봉",105.159048645726
"221","도곡현대힐스테이트 103동","서울특별시 강남구 남부순환로379길 19",c(127.0456088, 37.48792794),TRUE,"매봉",145.984022970583
"222","현대향목빌라트","서울특별시 강남구 남부순환로379길 26",c(127.0456635, 37.48857475),TRUE,"매봉",196.011401581943
"223","그랜빌캐슬","서울특별시 강남구 남부순환로379길 35",c(127.0448258, 37.48871688),FALSE,"매봉",255.901627398845
"224","포스코트","서울특별시 강남구 남부순환로381길 15",c(127.0478009, 37.48797204),TRUE,"매봉",123.788400554194
